"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date"
"1","2","2950",2017-02-25,FALSE,"Approved","Solex","Standard","medium","medium",71.49,53.62,3710138-10-08
"2","3","3120",2017-05-21,TRUE,"Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92,3818007-12-04
"3","37","402",2017-10-16,FALSE,"Approved","OHM Cycles","Standard","low","medium",1793.43,248.82,2554803-05-05
"4","88","3135",2017-08-31,FALSE,"Approved","Norco Bicycles","Standard","medium","medium",1198.46,381.1,2503707-06-05
"5","78","787",2017-10-01,TRUE,"Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48,3942199-05-21
"6","25","2339",2017-03-08,TRUE,"Approved","Giant Bicycles","Road","medium","medium",1538.99,829.65,3186405-08-19
"7","22","1542",2017-04-21,TRUE,"Approved","WeareA2B","Standard","medium","medium",60.34,45.26,2035328-03-13
"8","15","2459",2017-07-15,FALSE,"Approved","WeareA2B","Standard","medium","medium",1292.84,13.44,3395520-05-26
"9","67","1305",2017-08-10,FALSE,"Approved","Solex","Standard","medium","large",1071.23,380.74,1867374-01-11
"10","12","3262",2017-08-30,TRUE,"Approved","WeareA2B","Standard","medium","medium",1231.15,161.6,2993613-03-04
"11","5","1986",2017-01-17,FALSE,"Approved","Trek Bicycles","Mountain","low","medium",574.64,459.71,3601086-11-02
"12","61","2783",2017-01-05,TRUE,"Approved","OHM Cycles","Standard","low","medium",71.16,56.93,3929425-05-29
"13","35","1243",2017-02-26,TRUE,"Approved","Trek Bicycles","Standard","low","medium",1057.51,154.4,2120961-03-02
"14","16","2717",2017-09-10,FALSE,"Approved","Norco Bicycles","Standard","high","small",1661.92,1479.11,2134917-12-03
"15","12","247",2017-06-11,FALSE,"Approved","Giant Bicycles","Standard","medium","large",1765.3,709.48,2988172-05-27
"16","3","2961",2017-10-10,FALSE,"Approved","Trek Bicycles","Standard","medium","large",2091.47,388.92,2912474-10-01
"17","79","2426",2017-04-03,FALSE,"Approved","Norco Bicycles","Standard","medium","medium",1555.58,818.01,2991247-08-15
