Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count total super member accounts balance,Average total super member accounts balance,Median total super member accounts balance
800,5469,5469,75120,54381,0.93,5109,76663,57618,0.15,803,-6775,-5137,5469,77621,56999,5469,2455,851,0.04,233,66794,22142,0.04,214,53482,11214,0.84,4609,23516,12699,7321,71340,12484
810,21199,21199,64240,54207,0.87,18481,66038,58351,0.2,4311,-4538,-3568,21199,66828,56426,21199,2536,1092,0.08,1767,93480,32565,0.08,1667,66482,13476,0.81,17167,18229,12929,24913,111650,39517
812,11330,11330,62800,55061,0.88,9967,65689,59653,0.2,2303,-4996,-3509,11330,65148,57392,11330,2300,1050,0.07,793,78605,33176,0.07,766,54295,15664,0.83,9350,16847,12805,13588,116002,47640
820,12940,12940,78787,61759,0.89,11482,75917,64902,0.24,3061,-4351,-3659,12940,81900,64641,12940,3041,1290,0.07,935,84990,24276,0.07,898,53516,13038,0.85,10994,24297,14956,15704,134488,44118
822,5981,5981,46457,34654,0.93,5549,44601,33787,0.11,638,-4594,-3389,5981,47864,35415,5981,1332,345,0.04,224,81568,34904,0.04,222,59281,20346,0.67,3985,12326,7308,9155,44426,9277
828,746,746,67936,52406,0.85,635,61916,52928,0.21,158,393,-446,746,70237,54381,746,2114,811,0.09,66,135896,75272,0.08,62,114816,38780,0.82,608,19894,12633,935,106780,36050
829,325,325,60150,57849,0.95,308,60648,62434,0.08,26,-2886,-5853,325,63597,62062,325,3315,2883,0.02,5,119482,88014,0.02,7,69885,7159,0.92,300,13087,10665,374,63554,30726
830,11171,11171,66015,58322,0.92,10279,68297,62351,0.19,2131,-6602,-5159,11171,68628,60970,11171,2557,1256,0.05,612,80702,28598,0.05,606,57328,14943,0.84,9425,17760,13352,13367,90325,44620
832,9845,9845,71198,62737,0.94,9283,74307,67105,0.17,1713,-7609,-5357,9845,74064,65735,9845,2836,1577,0.05,456,69721,25434,0.05,444,48613,12020,0.86,8508,19529,14558,10803,85088,47147
835,3176,3176,69723,59222,0.85,2689,72788,64843,0.27,851,-6350,-4588,3176,72471,61884,3176,2594,1082,0.1,302,107117,43876,0.1,303,77948,22042,0.83,2627,20017,14733,3669,139802,71976
836,4870,4870,68089,57033,0.86,4194,71224,63342,0.22,1067,-5628,-4427,4870,70844,59626,4870,2548,1132,0.09,446,96070,46110,0.09,445,68963,24293,0.83,4021,19330,13874,5658,110174,60924
837,569,569,56855,47616,0.75,426,62328,57998,0.18,100,-1941,-2358,569,59559,49037,569,2383,600,0.14,79,82115,29892,0.13,75,65073,17496,0.76,434,15763,11191,706,105558,46554
838,486,486,65104,55358,0.86,420,69261,62176,0.2,95,-5039,-2088,486,67687,58346,486,2529,1078,0.07,34,69844,39316,0.07,34,49542,21241,0.78,380,19290,15199,575,103204,49928
840,174,174,49395,42678,0.63,110,61654,54810,0.21,36,-4828,-1968,174,50944,44660,174,1492,343,0.19,33,60309,52000,0.18,32,41296,36219,0.7,121,13889,10398,215,126257,61119
841,311,311,66301,56410,0.89,276,71510,61666,0.18,55,-5344,-4557,311,68809,59315,311,2377,1265,0.11,33,49587,29060,0.11,34,42239,24719,0.83,258,18052,12941,416,89069,43686
845,371,371,52412,45040,0.83,307,58643,52275,0.14,53,468,104,371,54235,46000,371,1676,657,0.08,31,34284,22260,0.08,29,31822,19682,0.73,272,15033,10697,463,80785,34192
846,198,198,54915,48084,0.82,163,56260,52277,0.18,35,683,137,198,57066,49788,198,1812,568,0.09,17,84551,19290,0.07,14,88701,16944,0.78,155,14213,10772,261,75468,40327
847,141,141,40142,36113,0.81,114,46836,38269,0.14,20,107,-772,141,41484,37801,141,1308,455,0.08,11,282532,40672,0.06,9,381639,61138,0.72,101,10488,5605,216,52343,13318
850,3933,3933,57995,51521,0.91,3578,57295,52886,0.17,670,-1479,-1442,3933,60085,53359,3933,1993,720,0.06,227,102564,33241,0.05,214,81364,21849,0.82,3229,14856,11421,5039,86384,29799
852,1844,1844,37988,31730,0.94,1733,37975,30151,0.08,146,-2873,-2872,1844,40666,32666,1844,1327,454,0.03,57,143298,37807,0.03,54,127133,29794,0.64,1182,9179,5487,3015,31236,6157
853,538,538,64480,66866,0.97,524,69028,70936,0.29,157,-5380,-2500,538,67451,70426,538,2971,2303,0.03,16,20216,8623,0.03,14,14501,7908,0.89,481,15044,14109,583,178544,116211
854,438,438,40906,33934,0.89,392,40696,33942,0.06,28,-3195,-1589,438,42061,34554,438,1120,385,0.04,16,50686,17817,0.04,17,38419,17652,0.63,276,9725,6435,633,46285,9477
860,984,984,57251,50130,0.92,909,59348,54548,0.16,155,-2382,-1640,984,60790,52352,984,3072,1134,0.04,37,65489,29750,0.04,39,47595,10680,0.83,818,13465,9958,1332,71007,25788
862,233,233,43043,37279,0.94,218,43026,38293,0.09,20,-2138,-1175,233,45669,41073,233,2610,756,0.04,10,282680,83806,0.04,9,292784,104901,0.78,181,8151,5645,361,36423,10873
870,14153,14153,60704,52937,0.92,12979,61166,55597,0.19,2658,-2569,-2086,14153,63424,55435,14153,2645,1050,0.07,986,63873,22000,0.07,933,45590,12377,0.84,11863,15766,11665,17482,95301,34260
872,3933,3933,42747,34050,0.94,3713,39959,33237,0.07,292,-3979,-2115,3933,44007,34991,3933,1256,418,0.02,71,54936,19198,0.02,64,41952,6365,0.69,2711,10028,5786,6603,29060,5417
880,793,793,58317,46138,0.93,735,60796,50286,0.26,210,-5488,-3744,793,60678,47698,793,2348,715,0.05,40,66137,31672,0.04,34,51748,10600,0.73,580,17144,11710,1219,72432,15349
885,527,527,83343,75417,0.97,510,88579,80109,0.39,207,-7401,-5162,527,86736,78071,527,3317,1255,0.04,23,70625,41903,0.05,25,50561,22186,0.86,454,24490,20286,682,127119,65994
886,815,815,62868,56003,0.97,788,64641,58093,0.21,168,-5490,-3806,815,64947,58067,815,2026,810,0.03,21,79421,13324,0.02,20,68675,14254,0.79,643,17549,13978,976,66327,23854
2000,24459,24459,66698,27138,0.84,20425,54325,28090,0.12,2885,283,-836,24459,70431,28339,24459,3301,300,0.08,1888,160888,22412,0.06,1503,120530,11433,0.66,16256,29724,6901,48095,71132,1191
